identifier,translation,other-identifier,author-name,num-authors,author-gender,author-nationality,book-title,publ-first,publ-edition,publ-ref,publ-decade,publisher,collection,subgenre,type,ISBN,status,read,Bemerkungen,protagonists,narration,setting-type,setting-place,setting-time,translator(s),title-original,publ-original,Startkorpus,Duplikat prüfen
Curval_Habite,no,,"Curval, Philippe",1,male,FRA,Habite-t-on réellement quelque part?,,1989,1989,1980s,Denoël,Présence du Futur,scifi,populaire,2-207-30484-1,tei,,,,,,,,,,(unknown),,
Daeninckx_Oublie,no,rv1016,"Daeninckx, Didier",1,male,FRA,La Mort n'oublie personne,1989,,1989,1980s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,
Dalzell_Recherche,yes,,"Dalzell, Helen",1,female,,A la recherche de Mary-Ann,,1989,1989,1980s,Harlequin,Azur,sentimental,populaire,2-280-00639-1,tei,no,,,,,,,(unknown),In Search of Mary-Ann,1982,,
Dard_Valsez,no,rv1190,"Dard, Frédéric",1,male,FRA,"Valsez, Pouffiasses",1989,,1989,1980s,(unknown),(unknown),policier,populaire,(unknown),tei,,,,,,,,,,,,
Delany_Tours,yes,,"Delany, Samuel R.",1,male,USA,Les tours de Toron,,1989,1989,1980s,Presses Pocket,Science-Fantasy,scifi,populaire,2-266-03172-4,tei,,,,,,,,,,,,
Duncan_Maison,yes,,"Duncan, Judith",1,female,CAN,La maison aux poupées,,1989,1989,1980s,Harlequin,Collection Or,sentimental,populaire,2-280-07279-3,tei,,Kapitel nicht durchgehend erkannt,,,,,,(unknown),Beginnings,,1987,
Ebersohn_Nuit,yes,,"Ebersohn, Wessel",1,male,ZAF,La nuit divisée,1989,1993,1989,1980s,Rivages,Rivages/Noir,policier,populaire,2-86930-642-3,tei,,,,,,,,"Prouteau, Hélène",Divide the Night,1981,,
Fayard_Chasseurs,no,,"Fayard, Colette",1,female,,Les chasseurs au bord de la nuit,,1989,1989,1980s,Denoël,Présence du Futur,scifi,populaire,2-207-30487-6,tei,,,,,,,,,,,,
Forest_Disparue,yes,,"Forest, Regan",1,female,USA,La disparue de Rosewood,,1989,1989,1980s,Harlequin,Duo Desir,sentimental,populaire,2-280-85277-2,tei,,,,,,,,(unknown),When tomorrow comes,,,
Gamble_Roman,yes,,"Gamble, M.L.",1,female,USA,Le Roman de Sarah Winesong,,1989,1989,1980s,Harlequin,Duo Harmonie,sentimental,populaire,9-78228-0832380,tei,,Titelblatt herausgerissen; Dépôt légal : novembre 1989,,,,,,(unknown),(unknown),,,
GardnerEvans_Ete,yes,,"Gardner Evans, Patricia",1,female,,L'été du loup,,1989,1989,1980s,Harlequin,Duo Harmonie,sentimental,populaire,9-78228-0832410,tei,,Titelblatt herausgerissen; Dépôt légal : décembre 1989,,,,,,(unknown),(unknown),,,
Garrett_Prince,yes,,"Garrett, Sibylle",1,female,,"Ce prince, ce rebelle",,1989,1989,1980s,Harlequin,Duo Harmonie,sentimental,populaire,2-280-83231-3,tei,,,,,,,,(unknown),Rebel's Return,,,
Gladstone_Flora,yes,,"Gladstone, Eve",1,female,,"Flora, de Riveredge",,1989,1989,1980s,Harlequin,Collection Or,sentimental,populaire,2-280-07301-3,tei,no,,,,,,,,,,,
Goldrick_Fugue,yes,,"Goldrick, Emma",1,female,,Fugue dans les Caraïbes,,1989,1989,1980s,Harlequin,Azur,sentimental,populaire,2-280-00636-7,tei,no,Kapitel nicht erkannt,,,,,,,,,,
Hamilton_Oeil,yes,,"Hamilton, Lucy",1,female,,Dans l'œil du typhon,,1989,1989,1980s,Harlequin,Duo Harmonie,sentimental,populaire,2-280-83243-7,tei,,Kapitel nicht durchgehend erkannt,,,,,,(unknown),The Real Thing,,,
HartC_Meneuse,yes,,"Hart, Carrie",1,female,,La meneuse du jeu,,1989,1989,1980s,Harlequin,Duo Desir,sentimental,populaire,9-782280-852845,tei,,kein Titelblatt; Dépot légal novembre 1989; nicht alle Kapitel erkannt,,,,,,,,,,
HartJM_Femme,yes,,"Hart, Joan Mary",1,female,,Une femme orgueilleuse,,1989,1989,1980s,Harlequin,Duo Romance,sentimental,populaire,2-280-80428-X,tei,,,,,,,,,Stranger at the Wedding,,,
Hooper_Chute,yes,,"Hooper, Kay",1,female,,La chute de Lucas,,1989,1989,1980s,Presses de la Cité,Collection Passion,sentimental,populaire,2-258-02562-1,tei,no,Kapitel nicht erkannt,,,,,,,,,,
Hooper_Kelsey,yes,,"Hooper, Kay",1,female,,Kelsey aux cent visages,,1989,1989,1980s,Presses de la Cité,Collection Passion,sentimental,populaire,2-258-02729-2,tei,no,Kapitel nicht erkannt,,,,,,,,,,
Houssin_Argentine,no,,"Houssin, Joël",1,male,,Argentine,,1989,1989,1980s,Denoël,Présence du Futur,scifi,populaire,2-207-30486-8,tei,,,,,,,,,,,,
Howard_Montagne,yes,,"Howard, Linda",1,female,,La montagne des Mackenzie,,1989,1989,1980s,Harlequin,Duo Harmonie,sentimental,populaire,9-78228-0832427,tei,,Titelblatt herausgerissen; Dépôt légal : décembre 1989; Kapitel nicht durchgehend erkannt,,,,,,(unknown),(unknown),,,
Hutchinson_Soleil,yes,,"Hutchinson, Bobby",1,male,,Au soleil de minuit,,1989,1989,1980s,Harlequin,Collection Or,sentimental,populaire,2-280-07273-4,tei,,,,,,,,,,,,
Johnston_Megan,yes,,"Johnston, Joan",1,female,,"Megan, ou l'école des amants",,1989,1989,1980s,Harlequin,Rouge Passion,sentimental,populaire,2-280-12294-4,tei,no,,,,,,,,,,,
